,Verb/Skill,Frequency,Grade,Subject
0,incorporate,1,Grade 8,MUSIC
1,offer,2,Grade 8,MUSIC
2,empower,1,Grade 8,MUSIC
3,explore,1,Grade 8,MUSIC
4,engage,1,Grade 8,MUSIC
5,motivate,1,Grade 8,MUSIC
6,solve,1,Grade 8,MUSIC
7,develop,5,Grade 8,MUSIC
8,increase,1,Grade 8,MUSIC
9,make,2,Grade 8,MUSIC
10,lead,1,Grade 8,MUSIC
11,encourage,1,Grade 8,MUSIC
12,nurture,1,Grade 8,MUSIC
13,provide,1,Grade 8,MUSIC
14,organize,1,Grade 8,MUSIC
15,expect,1,Grade 8,MUSIC
16,acquire,1,Grade 8,MUSIC
17,foster,1,Grade 8,MUSIC
18,reproduce,1,Grade 8,MUSIC
19,create,1,Grade 8,MUSIC
20,apply,1,Grade 8,MUSIC
21,sing,1,Grade 8,MUSIC
22,play,1,Grade 8,MUSIC
23,read,1,Grade 8,MUSIC
24,move,1,Grade 8,MUSIC
25,experience,1,Grade 8,MUSIC
26,understand,1,Grade 8,MUSIC
27,include,2,Grade 8,MUSIC
28,analyze,1,Grade 8,MUSIC
29,evaluate,1,Grade 8,MUSIC
30,respond,1,Grade 8,MUSIC
31,contain,2,Grade 8,MUSIC
32,master,1,Grade 8,MUSIC
33,intend,1,Grade 8,MUSIC
